Finished epoch:1 | Loss : 0.2000 | Learning Rate: 0.005 | Eval loss: 0.656688928604126
Finished epoch:2 | Loss : 0.0941 | Learning Rate: 0.005 | Eval loss: 0.0932873785495758
Finished epoch:3 | Loss : 0.0798 | Learning Rate: 0.005 | Eval loss: 0.07620402425527573
Finished epoch:4 | Loss : 0.0734 | Learning Rate: 0.005 | Eval loss: 0.08638881891965866
Finished epoch:5 | Loss : 0.0693 | Learning Rate: 0.005 | Eval loss: 0.0694681704044342
Finished epoch:6 | Loss : 0.0667 | Learning Rate: 0.005 | Eval loss: 0.06578169763088226
Finished epoch:7 | Loss : 0.0641 | Learning Rate: 0.005 | Eval loss: 0.06514523923397064
Finished epoch:8 | Loss : 0.0619 | Learning Rate: 0.005 | Eval loss: 0.06099461764097214
Finished epoch:9 | Loss : 0.0603 | Learning Rate: 0.005 | Eval loss: 0.06033065915107727
Finished epoch:10 | Loss : 0.0584 | Learning Rate: 0.005 | Eval loss: 0.06634521484375
Finished epoch:11 | Loss : 0.0581 | Learning Rate: 0.005 | Eval loss: 0.05755480006337166
Finished epoch:12 | Loss : 0.0563 | Learning Rate: 0.005 | Eval loss: 0.05622657388448715
Finished epoch:13 | Loss : 0.0552 | Learning Rate: 0.005 | Eval loss: 0.059265099465847015
Finished epoch:14 | Loss : 0.0539 | Learning Rate: 0.005 | Eval loss: 0.05612686276435852
Finished epoch:15 | Loss : 0.0528 | Learning Rate: 0.005 | Eval loss: 0.05921216309070587
Finished epoch:16 | Loss : 0.0525 | Learning Rate: 0.005 | Eval loss: 0.05653414875268936
Finished epoch:17 | Loss : 0.0514 | Learning Rate: 0.005 | Eval loss: 0.0804910734295845
Finished epoch:18 | Loss : 0.0501 | Learning Rate: 0.005 | Eval loss: 0.05281496047973633
Finished epoch:19 | Loss : 0.0492 | Learning Rate: 0.005 | Eval loss: 0.06515754759311676
Finished epoch:20 | Loss : 0.0490 | Learning Rate: 0.005 | Eval loss: 0.06141752004623413
Finished epoch:21 | Loss : 0.0472 | Learning Rate: 0.005 | Eval loss: 0.051776014268398285
Finished epoch:22 | Loss : 0.0463 | Learning Rate: 0.005 | Eval loss: 0.05033598467707634
Finished epoch:23 | Loss : 0.0454 | Learning Rate: 0.005 | Eval loss: 0.045553117990493774
Finished epoch:24 | Loss : 0.0446 | Learning Rate: 0.005 | Eval loss: 0.06079014390707016
Finished epoch:25 | Loss : 0.0438 | Learning Rate: 0.005 | Eval loss: 0.043713174760341644
Finished epoch:26 | Loss : 0.0429 | Learning Rate: 0.005 | Eval loss: 0.048501886427402496
Finished epoch:27 | Loss : 0.0419 | Learning Rate: 0.005 | Eval loss: 0.047423817217350006
Finished epoch:28 | Loss : 0.0408 | Learning Rate: 0.005 | Eval loss: 0.044133882969617844
Finished epoch:29 | Loss : 0.0405 | Learning Rate: 0.005 | Eval loss: 0.04575840383768082

