Finished epoch:1 | Loss : 0.3929 | Learning Rate: 0.005 | Eval loss: 0.39645612239837646
Finished epoch:2 | Loss : 0.2843 | Learning Rate: 0.005 | Eval loss: 0.2675521969795227
Finished epoch:3 | Loss : 0.2441 | Learning Rate: 0.005 | Eval loss: 0.24040481448173523
Finished epoch:4 | Loss : 0.2323 | Learning Rate: 0.005 | Eval loss: 0.23378877341747284
Finished epoch:1 | Loss : 0.3939 | Learning Rate: 0.005 | Eval loss: 0.5529971718788147
Finished epoch:2 | Loss : 0.2911 | Learning Rate: 0.005 | Eval loss: 0.2625565826892853
Finished epoch:3 | Loss : 0.2372 | Learning Rate: 0.005 | Eval loss: 0.2591603994369507
Finished epoch:4 | Loss : 0.2289 | Learning Rate: 0.005 | Eval loss: 0.31472283601760864
Finished epoch:5 | Loss : 0.2018 | Learning Rate: 0.005 | Eval loss: 0.36938774585723877
Finished epoch:6 | Loss : 0.1820 | Learning Rate: 0.005 | Eval loss: 0.2514520585536957
Finished epoch:7 | Loss : 0.1737 | Learning Rate: 0.005 | Eval loss: 0.2026737630367279
Finished epoch:8 | Loss : 0.1552 | Learning Rate: 0.005 | Eval loss: 0.16113413870334625
Finished epoch:9 | Loss : 0.1606 | Learning Rate: 0.005 | Eval loss: 0.16750162839889526
Finished epoch:10 | Loss : 0.1459 | Learning Rate: 0.005 | Eval loss: 0.15416811406612396
Finished epoch:11 | Loss : 0.1413 | Learning Rate: 0.005 | Eval loss: 0.13889408111572266
Finished epoch:12 | Loss : 0.1300 | Learning Rate: 0.005 | Eval loss: 0.13332025706768036
Finished epoch:13 | Loss : 0.1247 | Learning Rate: 0.005 | Eval loss: 0.13213896751403809
Finished epoch:14 | Loss : 0.1197 | Learning Rate: 0.005 | Eval loss: 0.1373928189277649
Finished epoch:15 | Loss : 0.1082 | Learning Rate: 0.005 | Eval loss: 0.12838782370090485
Finished epoch:16 | Loss : 0.1062 | Learning Rate: 0.005 | Eval loss: 0.12948846817016602
Finished epoch:17 | Loss : 0.1005 | Learning Rate: 0.005 | Eval loss: 0.10270276665687561
Finished epoch:18 | Loss : 0.0952 | Learning Rate: 0.005 | Eval loss: 0.0964009091258049
Finished epoch:19 | Loss : 0.0886 | Learning Rate: 0.005 | Eval loss: 0.0874204933643341
Finished epoch:20 | Loss : 0.0874 | Learning Rate: 0.005 | Eval loss: 0.11529848724603653
Finished epoch:21 | Loss : 0.0866 | Learning Rate: 0.005 | Eval loss: 0.09010335803031921
Finished epoch:22 | Loss : 0.0837 | Learning Rate: 0.005 | Eval loss: 0.08626923710107803
Finished epoch:23 | Loss : 0.0825 | Learning Rate: 0.005 | Eval loss: 0.08256661146879196
Finished epoch:24 | Loss : 0.0800 | Learning Rate: 0.005 | Eval loss: 0.08198036253452301
Finished epoch:25 | Loss : 0.0786 | Learning Rate: 0.005 | Eval loss: 0.08231620490550995
Finished epoch:26 | Loss : 0.0785 | Learning Rate: 0.005 | Eval loss: 0.08636827766895294
Finished epoch:27 | Loss : 0.0825 | Learning Rate: 0.005 | Eval loss: 0.09920763969421387
Finished epoch:28 | Loss : 0.0797 | Learning Rate: 0.005 | Eval loss: 0.08271655440330505
Finished epoch:29 | Loss : 0.0773 | Learning Rate: 0.005 | Eval loss: 0.07621192932128906
Finished epoch:30 | Loss : 0.0750 | Learning Rate: 0.005 | Eval loss: 0.07475820183753967
Finished epoch:31 | Loss : 0.0774 | Learning Rate: 0.005 | Eval loss: 0.0942092165350914
Finished epoch:32 | Loss : 0.0813 | Learning Rate: 0.005 | Eval loss: 0.10112377256155014
Finished epoch:33 | Loss : 0.0769 | Learning Rate: 0.0025 | Eval loss: 0.0763242095708847
Finished epoch:31 | Loss : 0.4593 | Learning Rate: 0.025 | Eval loss: 0.7980221509933472
Finished epoch:32 | Loss : 0.2385 | Learning Rate: 0.025 | Eval loss: 0.2761029303073883
Finished epoch:33 | Loss : 0.2080 | Learning Rate: 0.025 | Eval loss: 0.2105836421251297
Finished epoch:34 | Loss : 0.1886 | Learning Rate: 0.025 | Eval loss: 0.21186864376068115
Finished epoch:35 | Loss : 0.1588 | Learning Rate: 0.025 | Eval loss: 0.16535885632038116
Finished epoch:36 | Loss : 0.1481 | Learning Rate: 0.025 | Eval loss: 0.15880173444747925
Finished epoch:37 | Loss : 0.1471 | Learning Rate: 0.025 | Eval loss: 0.5103534460067749
Finished epoch:38 | Loss : 0.1595 | Learning Rate: 0.025 | Eval loss: 0.17119193077087402
