Finished epoch:1 | Loss : 0.5739 | Learning Rate: 0.03 | Eval loss: 0.37355461716651917
Finished epoch:2 | Loss : 0.3395 | Learning Rate: 0.03 | Eval loss: 0.43746209144592285
Finished epoch:3 | Loss : 0.2976 | Learning Rate: 0.03 | Eval loss: 0.29264241456985474
Finished epoch:4 | Loss : 0.2708 | Learning Rate: 0.03 | Eval loss: 0.26815080642700195
Finished epoch:5 | Loss : 0.2584 | Learning Rate: 0.03 | Eval loss: 0.2575832009315491
Finished epoch:6 | Loss : 0.2512 | Learning Rate: 0.03 | Eval loss: 0.25370967388153076
Finished epoch:7 | Loss : 0.2422 | Learning Rate: 0.03 | Eval loss: 0.24693280458450317
Finished epoch:8 | Loss : 0.2356 | Learning Rate: 0.03 | Eval loss: 0.23705241084098816
Finished epoch:9 | Loss : 0.2294 | Learning Rate: 0.03 | Eval loss: 0.24131493270397186
Finished epoch:10 | Loss : 0.2256 | Learning Rate: 0.03 | Eval loss: 0.24556422233581543
Finished epoch:11 | Loss : 0.2214 | Learning Rate: 0.03 | Eval loss: 0.24860776960849762
Finished epoch:12 | Loss : 0.2202 | Learning Rate: 0.03 | Eval loss: 0.23389339447021484
Finished epoch:13 | Loss : 0.2155 | Learning Rate: 0.03 | Eval loss: 0.24868446588516235
Finished epoch:14 | Loss : 0.2125 | Learning Rate: 0.03 | Eval loss: 0.2326686680316925
Finished epoch:15 | Loss : 0.2065 | Learning Rate: 0.03 | Eval loss: 0.23248252272605896
Finished epoch:16 | Loss : 0.2043 | Learning Rate: 0.03 | Eval loss: 0.20806550979614258
Finished epoch:17 | Loss : 0.2001 | Learning Rate: 0.03 | Eval loss: 0.21013393998146057
Finished epoch:18 | Loss : 0.1974 | Learning Rate: 0.03 | Eval loss: 0.20647865533828735
Finished epoch:19 | Loss : 0.1961 | Learning Rate: 0.03 | Eval loss: 0.20476630330085754
Finished epoch:20 | Loss : 0.1946 | Learning Rate: 0.03 | Eval loss: 0.19867844879627228
Finished epoch:21 | Loss : 0.1913 | Learning Rate: 0.03 | Eval loss: 0.19561690092086792
Finished epoch:22 | Loss : 0.1902 | Learning Rate: 0.03 | Eval loss: 0.20112890005111694
Finished epoch:23 | Loss : 0.1891 | Learning Rate: 0.03 | Eval loss: 0.20064787566661835
Finished epoch:24 | Loss : 0.1869 | Learning Rate: 0.03 | Eval loss: 0.19438126683235168
Finished epoch:25 | Loss : 0.1850 | Learning Rate: 0.03 | Eval loss: 0.1947980374097824
Finished epoch:26 | Loss : 0.1847 | Learning Rate: 0.03 | Eval loss: 0.20049040019512177
Finished epoch:27 | Loss : 0.1843 | Learning Rate: 0.03 | Eval loss: 0.1900297850370407
Finished epoch:28 | Loss : 0.1812 | Learning Rate: 0.03 | Eval loss: 0.1847398728132248
Finished epoch:29 | Loss : 0.1802 | Learning Rate: 0.03 | Eval loss: 0.19229277968406677
Finished epoch:30 | Loss : 0.1790 | Learning Rate: 0.03 | Eval loss: 0.1874326765537262
Finished epoch:31 | Loss : 0.1769 | Learning Rate: 0.03 | Eval loss: 0.18184255063533783
Finished epoch:32 | Loss : 0.1764 | Learning Rate: 0.03 | Eval loss: 0.18132688105106354
Finished epoch:33 | Loss : 0.1748 | Learning Rate: 0.03 | Eval loss: 0.17949214577674866
Finished epoch:34 | Loss : 0.1742 | Learning Rate: 0.03 | Eval loss: 0.17989908158779144
Finished epoch:35 | Loss : 0.1736 | Learning Rate: 0.03 | Eval loss: 0.1791071891784668
Finished epoch:36 | Loss : 0.1725 | Learning Rate: 0.03 | Eval loss: 0.17959894239902496
Finished epoch:37 | Loss : 0.1710 | Learning Rate: 0.03 | Eval loss: 0.17544038593769073
Finished epoch:38 | Loss : 0.1703 | Learning Rate: 0.03 | Eval loss: 0.17566506564617157
Finished epoch:39 | Loss : 0.1700 | Learning Rate: 0.03 | Eval loss: 0.1752975583076477
Finished epoch:40 | Loss : 0.1689 | Learning Rate: 0.03 | Eval loss: 0.17850278317928314
Finished epoch:41 | Loss : 0.1680 | Learning Rate: 0.03 | Eval loss: 0.17611612379550934
Finished epoch:42 | Loss : 0.1682 | Learning Rate: 0.03 | Eval loss: 0.17444822192192078
Finished epoch:43 | Loss : 0.1671 | Learning Rate: 0.03 | Eval loss: 0.17285193502902985
Finished epoch:44 | Loss : 0.1669 | Learning Rate: 0.03 | Eval loss: 0.17334161698818207
Finished epoch:45 | Loss : 0.1661 | Learning Rate: 0.03 | Eval loss: 0.1768481433391571
Finished epoch:46 | Loss : 0.1659 | Learning Rate: 0.03 | Eval loss: 0.17420431971549988
Finished epoch:47 | Loss : 0.1656 | Learning Rate: 0.03 | Eval loss: 0.17003142833709717
Finished epoch:48 | Loss : 0.1651 | Learning Rate: 0.03 | Eval loss: 0.1715608835220337
Finished epoch:49 | Loss : 0.1641 | Learning Rate: 0.03 | Eval loss: 0.17353574931621552
Finished epoch:50 | Loss : 0.1640 | Learning Rate: 0.03 | Eval loss: 0.17422646284103394
Finished epoch:51 | Loss : 0.1640 | Learning Rate: 0.03 | Eval loss: 0.17181038856506348
Finished epoch:52 | Loss : 0.1636 | Learning Rate: 0.03 | Eval loss: 0.17501309514045715
Finished epoch:53 | Loss : 0.1628 | Learning Rate: 0.03 | Eval loss: 0.17017823457717896
Finished epoch:54 | Loss : 0.1626 | Learning Rate: 0.03 | Eval loss: 0.16957858204841614
Finished epoch:55 | Loss : 0.1622 | Learning Rate: 0.03 | Eval loss: 0.16867002844810486
Finished epoch:56 | Loss : 0.1614 | Learning Rate: 0.03 | Eval loss: 0.16600310802459717
Finished epoch:57 | Loss : 0.1614 | Learning Rate: 0.03 | Eval loss: 0.16781458258628845
