Finished epoch:1 | Loss : 0.7034 | Learning Rate: 0.05 | Eval loss: 1.9205873012542725
Finished epoch:2 | Loss : 0.4134 | Learning Rate: 0.05 | Eval loss: 0.5472966432571411
Finished epoch:3 | Loss : 0.4057 | Learning Rate: 0.05 | Eval loss: 0.41282886266708374
Finished epoch:4 | Loss : 0.3980 | Learning Rate: 0.05 | Eval loss: 0.41560882329940796
Finished epoch:5 | Loss : 0.3775 | Learning Rate: 0.05 | Eval loss: 0.424812376499176
Finished epoch:6 | Loss : 0.3527 | Learning Rate: 0.05 | Eval loss: 0.34252628684043884
Finished epoch:7 | Loss : 0.3279 | Learning Rate: 0.05 | Eval loss: 0.3229847550392151
Finished epoch:8 | Loss : 0.3032 | Learning Rate: 0.05 | Eval loss: 0.3029780983924866
Finished epoch:9 | Loss : 0.2838 | Learning Rate: 0.05 | Eval loss: 0.2873489260673523
Finished epoch:10 | Loss : 0.2711 | Learning Rate: 0.05 | Eval loss: 0.2763666808605194
Finished epoch:11 | Loss : 0.2624 | Learning Rate: 0.05 | Eval loss: 0.2740882635116577
Finished epoch:12 | Loss : 0.2559 | Learning Rate: 0.05 | Eval loss: 0.26482468843460083
Finished epoch:13 | Loss : 0.2508 | Learning Rate: 0.05 | Eval loss: 0.25720739364624023
Finished epoch:14 | Loss : 0.2484 | Learning Rate: 0.05 | Eval loss: 0.2567681670188904
Finished epoch:15 | Loss : 0.2440 | Learning Rate: 0.05 | Eval loss: 0.25401633977890015
Finished epoch:16 | Loss : 0.2405 | Learning Rate: 0.05 | Eval loss: 0.25209808349609375
Finished epoch:17 | Loss : 0.2387 | Learning Rate: 0.05 | Eval loss: 0.24804675579071045
Finished epoch:18 | Loss : 0.2356 | Learning Rate: 0.05 | Eval loss: 0.2464715838432312
Finished epoch:19 | Loss : 0.2334 | Learning Rate: 0.05 | Eval loss: 0.2469276785850525
Finished epoch:20 | Loss : 0.2322 | Learning Rate: 0.05 | Eval loss: 0.2440154254436493
Finished epoch:21 | Loss : 0.2302 | Learning Rate: 0.05 | Eval loss: 0.24344415962696075
Finished epoch:22 | Loss : 0.2294 | Learning Rate: 0.05 | Eval loss: 0.24295571446418762
Finished epoch:23 | Loss : 0.2280 | Learning Rate: 0.05 | Eval loss: 0.2449052929878235
Finished epoch:24 | Loss : 0.2266 | Learning Rate: 0.05 | Eval loss: 0.23804254829883575
Finished epoch:25 | Loss : 0.2241 | Learning Rate: 0.05 | Eval loss: 0.23605290055274963
Finished epoch:26 | Loss : 0.2224 | Learning Rate: 0.05 | Eval loss: 0.23385658860206604
Finished epoch:27 | Loss : 0.2184 | Learning Rate: 0.05 | Eval loss: 0.23137900233268738
Finished epoch:28 | Loss : 0.2171 | Learning Rate: 0.05 | Eval loss: 0.22998195886611938
Finished epoch:29 | Loss : 0.2138 | Learning Rate: 0.05 | Eval loss: 0.22526974976062775
Finished epoch:30 | Loss : 0.2103 | Learning Rate: 0.05 | Eval loss: 0.2225259244441986
Finished epoch:31 | Loss : 0.2094 | Learning Rate: 0.05 | Eval loss: 0.22344055771827698
Finished epoch:32 | Loss : 0.2077 | Learning Rate: 0.05 | Eval loss: 0.22075533866882324
Finished epoch:33 | Loss : 0.2059 | Learning Rate: 0.05 | Eval loss: 0.21656838059425354
Finished epoch:34 | Loss : 0.2029 | Learning Rate: 0.05 | Eval loss: 0.21527349948883057
Finished epoch:35 | Loss : 0.2000 | Learning Rate: 0.05 | Eval loss: 0.21212983131408691
Finished epoch:36 | Loss : 0.1994 | Learning Rate: 0.05 | Eval loss: 0.22057965397834778
Finished epoch:37 | Loss : 0.1974 | Learning Rate: 0.05 | Eval loss: 0.2065832018852234
Finished epoch:38 | Loss : 0.1947 | Learning Rate: 0.05 | Eval loss: 0.20992858707904816
Finished epoch:39 | Loss : 0.1946 | Learning Rate: 0.05 | Eval loss: 0.20718061923980713
Finished epoch:40 | Loss : 0.1927 | Learning Rate: 0.05 | Eval loss: 0.2028401494026184
Finished epoch:41 | Loss : 0.1917 | Learning Rate: 0.05 | Eval loss: 0.19947518408298492
Finished epoch:42 | Loss : 0.1904 | Learning Rate: 0.05 | Eval loss: 0.20233315229415894
Finished epoch:43 | Loss : 0.1889 | Learning Rate: 0.05 | Eval loss: 0.20026913285255432
Finished epoch:44 | Loss : 0.1882 | Learning Rate: 0.05 | Eval loss: 0.19905534386634827
Finished epoch:45 | Loss : 0.1864 | Learning Rate: 0.05 | Eval loss: 0.19944870471954346
Finished epoch:46 | Loss : 0.1857 | Learning Rate: 0.05 | Eval loss: 0.1969735026359558
Finished epoch:47 | Loss : 0.1838 | Learning Rate: 0.05 | Eval loss: 0.1982884705066681
Finished epoch:48 | Loss : 0.1833 | Learning Rate: 0.05 | Eval loss: 0.1963731050491333
Finished epoch:49 | Loss : 0.1819 | Learning Rate: 0.05 | Eval loss: 0.19341734051704407
Finished epoch:50 | Loss : 0.1813 | Learning Rate: 0.05 | Eval loss: 0.1951400190591812
Finished epoch:51 | Loss : 0.1804 | Learning Rate: 0.05 | Eval loss: 0.1941329389810562
Finished epoch:52 | Loss : 0.1800 | Learning Rate: 0.05 | Eval loss: 0.19094794988632202
Finished epoch:53 | Loss : 0.1791 | Learning Rate: 0.05 | Eval loss: 0.1909954696893692
Finished epoch:54 | Loss : 0.1791 | Learning Rate: 0.05 | Eval loss: 0.19276964664459229
Finished epoch:55 | Loss : 0.1787 | Learning Rate: 0.05 | Eval loss: 0.18965023756027222
Finished epoch:56 | Loss : 0.1773 | Learning Rate: 0.05 | Eval loss: 0.19008168578147888
Finished epoch:57 | Loss : 0.1767 | Learning Rate: 0.05 | Eval loss: 0.18696661293506622
Finished epoch:58 | Loss : 0.1756 | Learning Rate: 0.05 | Eval loss: 0.18781441450119019
Finished epoch:59 | Loss : 0.1756 | Learning Rate: 0.05 | Eval loss: 0.18786939978599548
Finished epoch:60 | Loss : 0.1753 | Learning Rate: 0.05 | Eval loss: 0.18567511439323425
Finished epoch:61 | Loss : 0.1750 | Learning Rate: 0.05 | Eval loss: 0.18725094199180603
Finished epoch:62 | Loss : 0.1742 | Learning Rate: 0.05 | Eval loss: 0.18640124797821045
Finished epoch:63 | Loss : 0.1738 | Learning Rate: 0.05 | Eval loss: 0.18739053606987
Finished epoch:64 | Loss : 0.1741 | Learning Rate: 0.05 | Eval loss: 0.1862357258796692
Finished epoch:65 | Loss : 0.1733 | Learning Rate: 0.05 | Eval loss: 0.18517915904521942
Finished epoch:66 | Loss : 0.1731 | Learning Rate: 0.05 | Eval loss: 0.18394893407821655
Finished epoch:67 | Loss : 0.1718 | Learning Rate: 0.05 | Eval loss: 0.18375469744205475
Finished epoch:68 | Loss : 0.1722 | Learning Rate: 0.05 | Eval loss: 0.1841784417629242
Finished epoch:69 | Loss : 0.1713 | Learning Rate: 0.05 | Eval loss: 0.18452873826026917
Finished epoch:70 | Loss : 0.1719 | Learning Rate: 0.05 | Eval loss: 0.18331187963485718
Finished epoch:71 | Loss : 0.1702 | Learning Rate: 0.05 | Eval loss: 0.18316976726055145
Finished epoch:72 | Loss : 0.1704 | Learning Rate: 0.05 | Eval loss: 0.1848393976688385
Finished epoch:73 | Loss : 0.1702 | Learning Rate: 0.05 | Eval loss: 0.18175125122070312
Finished epoch:74 | Loss : 0.1699 | Learning Rate: 0.05 | Eval loss: 0.18109092116355896
Finished epoch:75 | Loss : 0.1693 | Learning Rate: 0.05 | Eval loss: 0.1825723946094513
Finished epoch:76 | Loss : 0.1681 | Learning Rate: 0.05 | Eval loss: 0.18137487769126892
